리뷰,별점
저번에 리뷰이벤트참여 안적어서 못먹었던 떡볶이 오늘 맛나게 먹었어용 치킨도 물론 맛있게 먹었구요 매번 재주문눌러서 치킨무 추가를 못찾아서 따로입금해드렸는데 주문하고나서보니 메뉴 다 나와있는곳 아래쪽에 있었네요 번거롭게 해드려서 죄송해요 다음엔 잘보고 체크해서 주문할께용 오늘도 맛나고 행복하게 저녁을 마무리하게해주셔서 감사드립니다,5
첨 시켜먹어보는대 너무 맛있게 잘 먹었습니다,5
후라이드는 역시 치킨플러스지요 기본 염지가 잘된 진짜 후라이드맛집 서비스로 치즈스틱도 양도 맛도 최고였습니다 오늘도 역시 잘 먹었습니다,5
배달이 약간 오래 걸리긴 했지만치킨 떡볶이 둘다 맛있어서 좋았네요,5
너무 맛있어요 떡볶이도 맛있고 날씨도 추운데 따뜻하고 빠르게 배달 왔어요,5
배불 배불 간만에 시켜먹었는데 여전히 맛있어요 운동한다고 닭가슴살만 먹었는데 역시 치킨은 닭다리살이네여,5
맛있어요 배달도 빠르고,5
치플윙봉은 먹을 때마다 맛있어요 서비스 김말이도 맛있었고요 덕분에 순삭했네요,5
항상 맛있게 잘 먹고 있습니다,5
마밌게 잘 먹었어요 간장 맛있네요 떡볶이는 아이들이 너무좋아해요,5
오랫만에 치플 치킨먹었는데사장님 양파에서 냄새가 납니다 관리 좀 하셔야겠어요,4
항상 맛있게 잘먹고 있습니다 감사합니다,5
떡볶이도 자극적인 맛이 아닌 깔끔하고 적당히 매콤하고 맛있어요 치킨도 바삭하고 양념이 딱 맞아요 서비스로 주신 것도 첨 먹어봤는데 맛있었어요 또 주문할께요,5
맛있어요 후라이드 핫쵸킹 조합 좋네요,5
생김새가 신기해서 한번 먹어봤는데 예상 외로 담백하고 맛있었네요 소스랑 궁합도 좋더라구여 이벤트성 아니더라도 상큼한 소스랑 먹고싶을땐 또 시킬 거 같애요 맛있게 잘 먹었습니다 서비스도 감사해여,5
맛있어요배달료 내도 될만큼맛있어요멀어도 여기서 시켜먹어요 담백하고 바삭하고 정량을 지키는데는 흔하지 않는치킨가게 같아요,5
맛있어요 떡볶이가 특히 맛있어요,5
맛 있 는 음 식,5
항상먹는거지만 맛있어요,5
오랜만에 주문했는데 역시 맛있네요 서비스도 감사드려요,5
식어도 바삭바삭 맛있더라구요 소스가 제스타일이 아니엇어요 식후감 사장님 힘내세요,5
무난합니다 잘 먹었습니다,5
재주문했어요배달도빠르고 싸고 맛있어서 개봉점에서만 시킵니다번창하세요,5
맛있게 잘먹었습니다 서비스도 감사 합니다맛나요 대박 나세요,5
배달도 빠르고 따뜻하게 와서 맛있었습니다,5
맛있게 잘먹었습니다,5
잘먹었습니다 감사합니다,5
맛나게 잘 먹었습니당,5
단골집으로 최고 요,5
배달업체가 갑인데인가봐요 관리좀하셔야할듯한데 음식이 맛있으면 뭐합니까 시간이 지나도안오길래 나가보니 문앞 길가에 음식을버리고갔는데 배달완료라고연락이나주던가 빌라나 아파트같이 실내도 아니고 문앞 길바닥에 완제품도아니고 조리음식을 버리고간다는게 이해가안가네요 차가운 음식을 돈주고 사먹는 같은기분이네요 아이스크림도아니고 냉동치킨 신메뉴인가보내요 음료수는 시원하네요 배달한새 끼는 코로나 핑계를대면서 대면배달안한거라하겠죠 지도 돈주고 차가운 치킨먹어보라해보시죠 그런말나오나 두번다시냉동치킨은 안먹을듯 요기요 삭제하게만드네요,1
두마리는 처음시켜먹어보는데 떡볶이는 첨 먹어 보는데 넘맛있네요,5
배달도 빠르고 정말 맛있어요,5
맛있어요 많이 파세요,5
실망시키지 않는 맛입니다 또 시켜먹을게요,5
로제 떡볶이는 상상하던 그 맛 맛있습니다 양은 작당합니다 치킨도 양은 적당하다고 생각합니다 닭도 부드럽고 지방없이 깔끔해서 좋았습니다 그러나 영념맛이 너무 밋밋한 것인지 적은 양에 버무려서 그런 것인지 그냥 부드럽고 촉촉한 닭고기 막는 것 같았습니다 떡볶이 소스에 찍어 먹어도 만회다 안되었습니다 기대했던 양념치킨의 맛이 아니었습니다,3
이번에는 그동안 모아두었던 쿠폰으로 주문해서 먹었습니다 쿠폰결제 한거라 큰기대없이 치킨을 받았는데 돈주고 결제한것보다 더 꼼꼼히 신경써주신게 느껴져서 감동했습니다 치킨맛은 말할것도 없구요떡볶이도 인정,5
오늘 처음 시켜서 먹어보았는데 정말 맛있어요 맥주랑 아주 잘어울려요,5
맛있어요 언제나,5
일주일에 한번은 꼭 먹는 치킨플러스 사진은 없지만 항상맛있습니다,5
치킨도 맛있지만 떡볶이 맛집 계속 생각나는 떡볶이 맛이라 계속 계속 시켜먹고 있어요,5
오랜만에 시켰는데 역쉬 치킨 플러스가 답이네요 가성비 최고 추천합니다 서비스 떡볶이 참 맛나요,5
맛 양 배달 모두 최고,5
맛있게 잘 먹었습니다 감사합니다,5
맛있게 잘먹었다,5
매번 시키는 메뉴 배달이 평소보다 엄청일찍와서 기뻤지만 음식을 받는순간 평상시보다 좀 가벼운 무게 앗차했어요 리뷰이벤트참여를 안적었구나 내사랑 떡볶이는 안들어있겠구나 역쉬나 없음 그러나 센스있게서비스로 찹쌀도너츠를 주셨으니 한입 베어먹는순간 아 이가게는 진정못하는게 무엇인가 여기가 도너츠맛집이었구나 감탄하며 떡볶이의빈자리를 바로 잊을수있었어요 치킨은 오늘도 당연히 맛있었구요사장님 감사해요 새해복 많이 받으시구요올해는 더 더욱 대박 나시길 바랄께요,5
항상 맛있게 잘 먹습니다,5
가슴살이 많아서 뻑뻑한살 좋아하는 사람은 강추입니다,4
너무 맛있게 잘먹었습니다,5
여친 맛보여줄라고 또시킴 볼때마다 비주얼 뭐같음 근데 왜케 바삭해요 진짜 역대먹은치킨중 잴바삭하고 안느끼함 거기다 치즈소스 진짜 개존맛 끝맛이 매콤한게 진짜 와 이번에는 급히 먹느라 사진찍는 타이밍을 놓쳤어요 그리고 또 놓친거 있는데 알아서 챙겨주신 쫀득쫀득한 알 감사합니다,5
맛있게 잘 먹겠습니다,5
죄송해요 리뷰 한줄 알앗는데 너무 맛잇어요 다만 이번건 좀 맵군여 그래도 너무 맛잇어서 다먹엇네요 항상 맛잇는 치킨 감사합니다,5
늘 맛 있어요근처에서는 최고예요,5
맛있고 배달도 빨라요 튀김 정말 바삭합니다,5
맛있게 잘먹었습니다,5
매운맛 변경으로 강추해요 배터져요 맛있습니다 굿굿 치킨플러스 최고,5
이 집은 대박 나야합니다,5
먹을 때마다 감탄 하다가 단골이 되었다는,5
맛있고 양도 많아요,5
맛있게 잘 먹었숩니다,5
어니언 오랜만에 주문했어요 맛있네요 다른곳에서 배달 취소되서 치킨으로 변경했는데 맛나게 잘먹었습니다 순살치킨은 바삭하고 양파랑 먹으니 느끼한것도 없고 치킨플러스 굿굿굿,5
진짜 특이하고 독특한 치킨 검무튀튀 화강암으로 만든 치킨,5
맛있게 잘 먹었습니다,5
여러분 솔직하게 말씀드리겠습니다 0 제가 먹는데에 정신이 팔려 차마 사진을 남기지 못했으나 강정치킨 이녀석 보통녀석이 아닙니다 믿고 먹어보십셔 진짜 배달왔을때 먹으면 극락입니다,5
항상맛이게 잘먹습니다,5
맛있어요 항상 잘 먹고 있습니다,5
처음 먹어본 메뉴인데 맛있었습니다,5
후라이드는 깨끗하게 튀겨져 좋았고핫쵸킹은 생각보다 맵지 않았지만 맛있었습니다특히 떡볶이는 정말정말 맛있었습니다떡에 간도 잘베어있고 국물이 너무 맛있었어도맛있게 잘먹었습니다,5
진짜 맛있어요 소스존맛,5
요기패스 이용해서 저렴하게 주문해서 맛나게 먹었어요,5
날씨가 추워서 좀 식었는지 그래도 그냥 먹을만해요,4
크리스마스라 바쁘신대도 감사하게 잘먹었습니다 류라이드가 좀더 바삭했으면 좋았을거 같아요,5
리뷰안쓸뻔했네 짱맛있어요,5
새깜댕이 치킨이라니 걱정반의심반 시켰는뎅 어라라 맛이있네요 왜지 신기방기 합니다,5
치킨플러스 우리 애들이 사랑합니다 치킨이 짜지 않아서 정말 만족해요,5
맛있게 발 먹었어욤양도 많아욤,5
맛있게 먹었습니다,5
매콤바삭 맛있어요 배달도 엄청빨랐습니다 해피뉴이어,5
오 신기한 맛입니다 하지만 다른메뉴가 더 맛있어요,5
진짜진짜 맛있는 후라이드 양념을 좋아하는아이때문에 오늘은 한마리씩 서비스로 주신 떡볶이까지 양이 너무 푸짐했습니다 오늘도 역시 잘 먹었습니당,5
튀김 맛집,5
검은치킨 호기심에 처음 주문해봤는디요 비주얼은 참 뭐가 생각나긴하지만 바삭하니 처음 접하는맛입니다 제공되는 2 가지소스가 참 맛나요 마늘소스는 유자향이 나면서 달콤하니 좋구요 노란색 치즈소스는 고추가 들어있어 매콤하면서 느낌함없이 특이하니 매력있네요 소스도 넉넉해서 남은 소스는 먹다남은 피자에 찍어먹으니 개존맛 새로운맛의 치킨 너무 잘먹었습니다 재구매의사 100000,5
